dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,count
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,native cell,CL:0000003,male,sixth decade human stage,European,558
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,fibroblast,CL:0000057,male,sixth decade human stage,European,420
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,endothelial cell,CL:0000115,male,sixth decade human stage,European,30
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,smooth muscle cell,CL:0000192,male,sixth decade human stage,European,30
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,macrophage,CL:0000235,male,sixth decade human stage,European,92
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,B cell,CL:0000236,male,sixth decade human stage,European,2
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,dendritic cell,CL:0000451,male,sixth decade human stage,European,3
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,monocyte,CL:0000576,male,sixth decade human stage,European,3
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,natural killer cell,CL:0000623,male,sixth decade human stage,European,1
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,pericyte,CL:0000669,male,sixth decade human stage,European,293
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,male,sixth decade human stage,European,4
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,"activated CD8-positive, alpha-beta T cell",CL:0000906,male,sixth decade human stage,European,2
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,male,sixth decade human stage,European,1
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,CD14-positive monocyte,CL:0001054,male,sixth decade human stage,European,1
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,regular ventricular cardiac myocyte,CL:0002131,male,sixth decade human stage,European,743
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,endothelial cell of lymphatic vessel,CL:0002138,male,sixth decade human stage,European,2
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,capillary endothelial cell,CL:0002144,male,sixth decade human stage,European,191
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,neural cell,CL:0002319,male,sixth decade human stage,European,8
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,"CD14-positive, CD16-positive monocyte",CL:0002397,male,sixth decade human stage,European,3
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,vein endothelial cell,CL:0002543,male,sixth decade human stage,European,46
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,epicardial adipocyte,CL:1000309,male,sixth decade human stage,European,3
All — Cells of the adult human heart,D3,interventricular septum,UBERON:0002094,endothelial cell of artery,CL:1000413,male,sixth decade human stage,European,39
