dataset_name,donor_id,tissue,tissue_ontology_term_id,cell_type,cell_type_ontology_id,sex,development_stage,race,count
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,native cell,CL:0000003,male,sixth decade human stage,European,347
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,fibroblast,CL:0000057,male,sixth decade human stage,European,533
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,mast cell,CL:0000097,male,sixth decade human stage,European,3
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,endothelial cell,CL:0000115,male,sixth decade human stage,European,49
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,smooth muscle cell,CL:0000192,male,sixth decade human stage,European,317
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,macrophage,CL:0000235,male,sixth decade human stage,European,332
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,B cell,CL:0000236,male,sixth decade human stage,European,14
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,dendritic cell,CL:0000451,male,sixth decade human stage,European,3
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,monocyte,CL:0000576,male,sixth decade human stage,European,7
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,natural killer cell,CL:0000623,male,sixth decade human stage,European,21
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,pericyte,CL:0000669,male,sixth decade human stage,European,1366
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,male,sixth decade human stage,European,21
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,mature NK T cell,CL:0000814,male,sixth decade human stage,European,1
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,"activated CD4-positive, alpha-beta T cell",CL:0000896,male,sixth decade human stage,European,17
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,"activated CD8-positive, alpha-beta T cell",CL:0000906,male,sixth decade human stage,European,14
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,male,sixth decade human stage,European,15
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,CD14-positive monocyte,CL:0001054,male,sixth decade human stage,European,30
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,regular ventricular cardiac myocyte,CL:0002131,male,sixth decade human stage,European,1484
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,endothelial cell of lymphatic vessel,CL:0002138,male,sixth decade human stage,European,1
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,capillary endothelial cell,CL:0002144,male,sixth decade human stage,European,246
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,neural cell,CL:0002319,male,sixth decade human stage,European,24
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,"CD14-positive, CD16-positive monocyte",CL:0002397,male,sixth decade human stage,European,44
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,vein endothelial cell,CL:0002543,male,sixth decade human stage,European,31
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,epicardial adipocyte,CL:1000309,male,sixth decade human stage,European,30
All — Cells of the adult human heart,D3,apex of heart,UBERON:0002098,endothelial cell of artery,CL:1000413,male,sixth decade human stage,European,81
